Name	PCB Decal	Part Type	Position X	Position Y	Rotation	Pins	SMD	Layer Name
C1	402	CAP_NON_POLARIZED	2730	2970	0	2	Yes	BOTTOM
C2	805	CAP_NON_POLARIZED	2555	2840	180	2	Yes	BOTTOM
C3	805	CAP_NON_POLARIZED	2555	2760	180	2	Yes	BOTTOM
C4	402	CAP_NON_POLARIZED	2160	3470	270	2	Yes	BOTTOM
C5	402	CAP_NON_POLARIZED	1705	3455	270	2	Yes	BOTTOM
C6	402	CAP_NON_POLARIZED	2190	2975	0	2	Yes	BOTTOM
C7	805	CAP_NON_POLARIZED	2170	2850	0	2	Yes	BOTTOM
C8	402	CAP_NON_POLARIZED	2190	3150	0	2	Yes	BOTTOM
C9	402	CAP_NON_POLARIZED	1945	2700	90	2	Yes	BOTTOM
C10	805	CAP_NON_POLARIZED	1540	3005	180	2	Yes	BOTTOM
C11	402	CAP_NON_POLARIZED	1995	2700	90	2	Yes	BOTTOM
C12	402	CAP_NON_POLARIZED	1545	2700	90	2	Yes	BOTTOM
C13	402	CAP_NON_POLARIZED	2190	3040	0	2	Yes	BOTTOM
C14	402	CAP_NON_POLARIZED	2060	3465	270	2	Yes	BOTTOM
C15	805	CAP_NON_POLARIZED	1665	2725	90	2	Yes	BOTTOM
C16	805	CAP_NON_POLARIZED	1880	2725	90	2	Yes	BOTTOM
C17	402	CAP_NON_POLARIZED	1490	2700	90	2	Yes	BOTTOM
C18	402	CAP_NON_POLARIZED	1515	2820	180	2	Yes	BOTTOM
C19	402	CAP_NON_POLARIZED	1550	3090	180	2	Yes	BOTTOM
C20	402	CAP_NON_POLARIZED	2050	2700	90	2	Yes	BOTTOM
C21	402	CAP_NON_POLARIZED	2180	3380	0	2	Yes	BOTTOM
C22	402	CAP_NON_POLARIZED	1485	3455	270	2	Yes	BOTTOM
C23	402	CAP_NON_POLARIZED	2160	2700	90	2	Yes	BOTTOM
C24	402	CAP_NON_POLARIZED	2215	2700	90	2	Yes	BOTTOM
C25	402	CAP_NON_POLARIZED	1730	2700	90	2	Yes	BOTTOM
C26	402	CAP_NON_POLARIZED	1515	2930	180	2	Yes	BOTTOM
C27	402	CAP_NON_POLARIZED	1550	3230	180	2	Yes	BOTTOM
C28	402	CAP_NON_POLARIZED	1535	3440	270	2	Yes	BOTTOM
C29	402	CAP_NON_POLARIZED	1515	2875	180	2	Yes	BOTTOM
C30	402	CAP_NON_POLARIZED	1605	2700	90	2	Yes	BOTTOM
C31	402	CAP_NON_POLARIZED	2185	2775	0	2	Yes	BOTTOM
C32	402	CAP_NON_POLARIZED	2190	3275	0	2	Yes	BOTTOM
C33	402	CAP_NON_POLARIZED	1760	3455	270	2	Yes	BOTTOM
C34	402	CAP_NON_POLARIZED	2310	5925	90	2	Yes	BOTTOM
C35	402	CAP_NON_POLARIZED	1975	3715	90	2	Yes	BOTTOM
C36	402	CAP_NON_POLARIZED	1550	3155	180	2	Yes	BOTTOM
C37	805	CAP_NON_POLARIZED	1595	3440	270	2	Yes	BOTTOM
C38	402	CAP_NON_POLARIZED	1410	3480	180	2	Yes	BOTTOM
C39	402	CAP_NON_POLARIZED	2190	2915	0	2	Yes	BOTTOM
